S No,Roll No,Name,Branch,Hobby-1,Hobby-2,Place
1,101,Thokka,Cse,singing,dancing,banglore
2,102,Gharshana,Aiml,sleeping,eating,vizag
3,103,Peel,Cse,music,reading,vij
4,104,Hansika,EEE,singing,dancing,hyd
5,105,Mota,Ece,sleeping,eating,banglore
6,106,Meeta,Aiml,music,reading,vizag
7,107,Horn,Ece,singing,dancing,vij
8,108,Sikka,Aiml,sleeping,eating,hyd
9,109,Varshini,Cse,music,reading,banglore
10,110,Sanjana,Aiml',singing,dancing,vizag
11,111,Navi,Eee,sleeping,eating,vij
12,112,Mumbai,Eee,music,reading,hyd
13,113,Shri,Cse,singing,dancing,banglore
14,114,Volly,eee,sleeping,eating,vizag
15,115,Tikka,cse,music,reading,vij
16,116,Vaishanavi,aiml,singing,dancing,hyd
17,117,Varshana,it,sleeping,eating,banglore
18,118,Seetha,itws,music,reading,vizag
19,119,Niharika,eee,singing,dancing,vij
20,200,Aditi,ece,sleeping,eating,hyd
